"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","taiga.archi.fr/87.98.187.73","443","INFO","HTTP","",""
"pre_128cipher","taiga.archi.fr/87.98.187.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","taiga.archi.fr/87.98.187.73","443","OK","not offered","",""
"SSLv3","taiga.archi.fr/87.98.187.73","443","OK","not offered","",""
"TLS1","taiga.archi.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_1","taiga.archi.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_2","taiga.archi.fr/87.98.187.73","443","OK","offered","",""
"TLS1_3","taiga.archi.fr/87.98.187.73","443","OK","offered with final","",""
"ALPN_HTTP2","taiga.archi.fr/87.98.187.73","443","OK","h2","",""
"cipherlist_NULL","taiga.archi.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","taiga.archi.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","taiga.archi.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","taiga.archi.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","taiga.archi.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","taiga.archi.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","taiga.archi.fr/87.98.187.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","taiga.archi.fr/87.98.187.73","443","OK","offered","",""
"cipher_order-tls1_2","taiga.archi.fr/87.98.187.73","443","OK","server","",""
"cipherorder_TLSv1_2","taiga.archi.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","taiga.archi.fr/87.98.187.73","443","OK","server -- TLS 1.3 client determined","",""
"FS","taiga.archi.fr/87.98.187.73","443","OK","offered","",""
"FS_ciphers","taiga.archi.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_KEMs","taiga.archi.fr/87.98.187.73","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","taiga.archi.fr/87.98.187.73","443","OK","prime256v1","",""
"TLS_extensions","taiga.archi.fr/87.98.187.73","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","taiga.archi.fr/87.98.187.73","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","taiga.archi.fr/87.98.187.73","443","INFO","no","",""
"sessionresumption_ticket","taiga.archi.fr/87.98.187.73","443","INFO","not supported","",""
"sessionresumption_ID","taiga.archi.fr/87.98.187.73","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","taiga.archi.fr/87.98.187.73","443","INFO","random","",""
"certificate_compression","taiga.archi.fr/87.98.187.73","443","INFO","none","",""
"clientAuth","taiga.archi.fr/87.98.187.73","443","INFO","none","",""
"cert_numbers","taiga.archi.fr/87.98.187.73","443","INFO","1","",""
"cert_signatureAlgorithm","taiga.archi.fr/87.98.187.73","443","OK","ECDSA with SHA384","",""
"cert_keySize","taiga.archi.fr/87.98.187.73","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","taiga.archi.fr/87.98.187.73","443","INFO","Digital Signature","",""
"cert_extKeyUsage","taiga.archi.fr/87.98.187.73","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","taiga.archi.fr/87.98.187.73","443","INFO","059D5D50DBBDC44D5979EF4BA50E0C0892A9","",""
"cert_serialNumberLen","taiga.archi.fr/87.98.187.73","443","INFO","18","",""
"cert_fingerprintSHA1","taiga.archi.fr/87.98.187.73","443","INFO","2214DF4A2F464668BFBC026A226F123E852B8933","",""
"cert_fingerprintSHA256","taiga.archi.fr/87.98.187.73","443","INFO","ED259400ACA08676E25F241F8CAFD709A7D353860EE0E480A8260CB95832A3A8","",""
"cert","taiga.archi.fr/87.98.187.73","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEqDCCBC6gAwIBAgISBZ1dUNu9xE1Zee9LpQ4MCJKpMAoGCCqGSM49BAMDMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNZRTEwHhcNMjYwNjE1MTkwOTAzWhcNMjYwOTEzMTkwOTAyWjAeMRwwGgYDVQQDExNwcm9kLXRhaWdhLmFyY2hpLmZyMFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAEhqyzqAQyTHH3Wk4zF5DA7eveywtT9aOJn9MXENT+FEvkreueMnynep5DWIq9Bt1bd4Zw9kRG/G7MmA2b8hhdDaOCAzUwggMxMA4GA1UdDwEB/wQEAwIHgDATBgNVHSUEDDAKBggrBgEFBQcDATAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBQFVc8cEIwUq8z6LpRkhMng2qbCjTAfBgNVHSMEGDAWgBS7IMpHC/7X5Zz5jwkqo4w3RbG82DAzBggrBgEFBQcBAQQnMCUwIwYIKwYBBQUHMAKGF2h0dHA6Ly95ZTEuaS5sZW5jci5vcmcvMIIBMAYDVR0RBIIBJzCCASOCEmFkbWlzc2lvbi5hcmNoaS5mcoIOZGdwYXQuYXJjaGkuZnKCE2Vuc2VpZ25hbnQuYXJjaGkuZnKCEWV0dWRpYW50LmFyY2hpLmZyghBleHRlcm5lLmFyY2hpLmZyghBwcmVpbnNjLmFyY2hpLmZyghdwcm9kLWFkbWlzc2lvbi5hcmNoaS5mcoITcHJvZC1kZ3BhdC5hcmNoaS5mcoIYcHJvZC1lbnNlaWduYW50LmFyY2hpLmZyghZwcm9kLWV0dWRpYW50LmFyY2hpLmZyghVwcm9kLWV4dGVybmUuYXJjaGkuZnKCFXByb2QtcHJlaW5zYy5hcmNoaS5mcoITcHJvZC10YWlnYS5hcmNoaS5mcoIOdGFpZ2EuYXJjaGkuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwLgYDVR0fBCcwJTAjoCGgH4YdaHR0cDovL3llMS5jLmxlbmNyLm9yZy80Mi5jcmwwggEMBgorBgEEAdZ5AgQCBIH9BIH6APgAfgBGr4Y9Oz7ln6V33qgkXTaw2e0ioiP0YXdBIpRS7pVQXwAAAZ7M5YOLAAgAAAUACdfRdwQDAEcwRQIhALT1MjD0kBCYr6dfk50QQrMKtqIqJmY3hpPUYhkixJrhAiAbWsyqS8oIpjnYPiPn+sB8l181W0SWs2SjK0OW8SldZQB2ANgJVTuUT3r/yBYZb5RPhauw+Pxeh1UmDxXRLnK7RUsUAAABnszlgzEAAAQDAEcwRQIgdHUGmkOQBr2vHojX+I5lyU6PbX/rD22weTQ0GWxEa3ECIQCzJYU7W6hspu4QJXQnnURbr18hSRVriPEa8XI/gPqdGjAKBggqhkjOPQQDAwNoADBlAjB6XMEIXF0ZZWOwshLm8LYP+R3+UgjGbzk+L7CV4xcyRKTh2Lme/JDRm4wuebfP5IgCMQDoXpthFtSZP4g9brvq1ut9PvI/EX402tgzMiWmrzmUwv0toPSFHDNdf7FGuPAgSoc=\n-----END CERTIFICATE-----","",""
"cert_commonName","taiga.archi.fr/87.98.187.73","443","OK","prod-taiga.archi.fr","",""
"cert_commonName_wo_SNI","taiga.archi.fr/87.98.187.73","443","INFO","request w/o SNI didn't succeed, usual for EC certificates","",""
"cert_subjectAltName","taiga.archi.fr/87.98.187.73","443","INFO","admission.archi.fr dgpat.archi.fr enseignant.archi.fr etudiant.archi.fr externe.archi.fr preinsc.archi.fr prod-admission.archi.fr prod-dgpat.archi.fr prod-enseignant.archi.fr prod-etudiant.archi.fr prod-externe.archi.fr prod-preinsc.archi.fr prod-taiga.archi.fr taiga.archi.fr","",""
"cert_trust","taiga.archi.fr/87.98.187.73","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","taiga.archi.fr/87.98.187.73","443","OK","passed.","",""
"cert_certificatePolicies_EV","taiga.archi.fr/87.98.187.73","443","INFO","no","",""
"cert_expirationStatus","taiga.archi.fr/87.98.187.73","443","OK","84 >= 30 days","",""
"cert_notBefore","taiga.archi.fr/87.98.187.73","443","INFO","2026-06-15 19:09","",""
"cert_notAfter","taiga.archi.fr/87.98.187.73","443","OK","2026-09-13 19:09","",""
"cert_extlifeSpan","taiga.archi.fr/87.98.187.73","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","taiga.archi.fr/87.98.187.73","443","INFO","not present","",""
"cert_crlDistributionPoints","taiga.archi.fr/87.98.187.73","443","INFO","http://ye1.c.lencr.org/42.crl","",""
"cert_ocspURL","taiga.archi.fr/87.98.187.73","443","INFO","--","",""
"OCSP_stapling","taiga.archi.fr/87.98.187.73","443","INFO","not offered","",""
"cert_mustStapleExtension","taiga.archi.fr/87.98.187.73","443","INFO","--","",""
"DNS_CAArecord","taiga.archi.fr/87.98.187.73","443","LOW","--","",""
"certificate_transparency","taiga.archi.fr/87.98.187.73","443","OK","yes (certificate extension)","",""
"certs_countServer","taiga.archi.fr/87.98.187.73","443","INFO","4","",""
"certs_list_ordering_problem","taiga.archi.fr/87.98.187.73","443","INFO","no","",""
"cert_caIssuers","taiga.archi.fr/87.98.187.73","443","INFO","YE1 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","taiga.archi.fr/87.98.187.73","443","INFO","-----BEGIN CERTIFICATE-----\nMIICizCCAhGgAwIBAgIQXd1w3TH4AchcGGp6BLgK/jAKBggqhkjOPQQDAzAuMQswCQYDVQQGEwJVUzENMAsGA1UEChMESVNSRzEQMA4GA1UEAxMHUm9vdCBZRTAeFw0yNTA5MDMwMDAwMDBaFw0yODA5MDIyMzU5NTlaMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNZRTEwdjAQBgcqhkjOPQIBBgUrgQQAIgNiAAQHZVB1/mimla2hfSurylScjPMZaOJXLz/NnAc2sylm8WDyhU9Ccp+zASQi5vSwGGJjSGklkD9fdPR8GpyDIOIjCEfrnbt/v+ZSEPLLEGbaM6EccDbN7p9xteIm2Avf+ryjge4wgeswDgYDVR0PAQH/BAQDAgGGMBMGA1UdJQQMMAoGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFLsgykcL/tflnPmPCSqjjDdFsbzYMB8GA1UdIwQYMBaAFKPIJlqOoUzQNWP8myPIOq5W809WMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3llLmkubGVuY3Iub3JnLzATBgNVHSAEDDAKMAgGBmeBDAECATAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veWUuYy5sZW5jci5vcmcvMAoGCCqGSM49BAMDA2gAMGUCMQDgjUEahFT/h3DRakqiPZpLvPgfZwkt6K2EOMmh1nvEzl83eMLYcod4GCl3b0J1Nn0CMBNYmEQJb4CEG5WoOe7aRn/LVKu6saHmHEynI7ysIPd8zQsK1HdmhlHKlw9Z5GpGvA==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","taiga.archi.fr/87.98.187.73","443","INFO","A2372D06431E9716365EEED47EC020351497D182FCC038E457E58168A03CAC07","",""
"intermediate_cert_notBefore <#1>","taiga.archi.fr/87.98.187.73","443","INFO","2025-09-03 00:00","",""
"intermediate_cert_notAfter <#1>","taiga.archi.fr/87.98.187.73","443","OK","2028-09-02 23:59","",""
"intermediate_cert_expiration <#1>","taiga.archi.fr/87.98.187.73","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","taiga.archi.fr/87.98.187.73","443","INFO","YE1 <-- Root YE","",""
"intermediate_cert <#2>","taiga.archi.fr/87.98.187.73","443","INFO","-----BEGIN CERTIFICATE-----\nMIICpjCCAiugAwIBAgIRAIchZfw0tuX7qK3Vs3BftTowCgYIKoZIzj0EAwMwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDIwHhcNMjYwNTEzMDAwMDAwWhcNMzIwOTAyMjM1OTU5WjAuMQswCQYDVQQGEwJVUzENMAsGA1UEChMESVNSRzEQMA4GA1UEAxMHUm9vdCBZRTB2MBAGByqGSM49AgEGBSuBBAAiA2IABDwS/6vhrcVqcbBo+wgdI3fwn9x7DNJJOY/lTOti0vkwuRN87RhEhTH17E7XyFjWsPYhIPt/wzOqxTd2b+4ZJNy9ID04YywF9U5zasDVyGSNErVNtz8uSGh5izW87j77GaOB6zCB6DAOBgNVHQ8BAf8EBAMCAQYwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDwYDVR0TAQH/BAUwAwEB/zAdBgNVHQ4EFgQUo8gmWo6hTNA1Y/ybI8g6rlbzT1YwHwYDVR0jBBgwFoAUfEKWrt5LSDv6kviejM9ti6lyN5UwMgYIKwYBBQUHAQEEJjAkMCIGCCsGAQUFBzAChhZodHRwOi8veDIuaS5sZW5jci5vcmcvMBMGA1UdIAQMMAowCAYGZ4EMAQIBMCcGA1UdHwQgMB4wHKAaoBiGFmh0dHA6Ly94Mi5jLmxlbmNyLm9yZy8wCgYIKoZIzj0EAwMDaQAwZgIxAMU19WCtmxVND8UHBZRoma49Z7jPs64Dma0eTu1OChVbB/2J7GV3nvYKAx54uk1G9QIxAO0miLVJu8PLNiXXXkiE/gsK3CTRTF/aeo4bMX42Zw40csRU6AC26hSW1/IWaas6dg==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#2>","taiga.archi.fr/87.98.187.73","443","INFO","0FC0901CCA2BAE9E9FDBB02D50D02F1094F7B36672086991B9E897626DC485F0","",""
"intermediate_cert_notBefore <#2>","taiga.archi.fr/87.98.187.73","443","INFO","2026-05-13 00:00","",""
"intermediate_cert_notAfter <#2>","taiga.archi.fr/87.98.187.73","443","OK","2032-09-02 23:59","",""
"intermediate_cert_expiration <#2>","taiga.archi.fr/87.98.187.73","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","taiga.archi.fr/87.98.187.73","443","INFO","Root YE <-- ISRG Root X2","",""
