"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.cppap.fr/143.126.211.105","443","INFO","HTTP","",""
"pre_128cipher","www.cppap.fr/143.126.211.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.cppap.fr/143.126.211.105","443","OK","not offered","",""
"SSLv3","www.cppap.fr/143.126.211.105","443","OK","not offered","",""
"TLS1","www.cppap.fr/143.126.211.105","443","LOW","offered (deprecated)","",""
"TLS1_1","www.cppap.fr/143.126.211.105","443","LOW","offered (deprecated)","",""
"TLS1_2","www.cppap.fr/143.126.211.105","443","OK","offered","",""
"TLS1_3","www.cppap.fr/143.126.211.105","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.cppap.fr/143.126.211.105","443","INFO","not offered","",""
"cipherlist_NULL","www.cppap.fr/143.126.211.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.cppap.fr/143.126.211.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.cppap.fr/143.126.211.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.cppap.fr/143.126.211.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.cppap.fr/143.126.211.105","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","www.cppap.fr/143.126.211.105","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.cppap.fr/143.126.211.105","443","OK","offered","",""
"cipherlist_STRONG_FS","www.cppap.fr/143.126.211.105","443","OK","offered","",""
"cipher_order-tls1","www.cppap.fr/143.126.211.105","443","OK","server","",""
"cipherorder_TLSv1","www.cppap.fr/143.126.211.105","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","www.cppap.fr/143.126.211.105","443","OK","server","",""
"cipherorder_TLSv1_1","www.cppap.fr/143.126.211.105","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","www.cppap.fr/143.126.211.105","443","OK","server","",""
"cipherorder_TLSv1_2","www.cppap.fr/143.126.211.105","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.cppap.fr/143.126.211.105","443","OK","server","",""
"FS","www.cppap.fr/143.126.211.105","443","OK","offered","",""
"FS_ciphers","www.cppap.fr/143.126.211.105","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","www.cppap.fr/143.126.211.105","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.cppap.fr/143.126.211.105","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
