"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.culture.fr/143.126.211.8","443","INFO","HTTP","",""
"pre_128cipher","www.culture.fr/143.126.211.8","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.culture.fr/143.126.211.8","443","OK","not offered","",""
"SSLv3","www.culture.fr/143.126.211.8","443","OK","not offered","",""
"TLS1","www.culture.fr/143.126.211.8","443","INFO","not offered","",""
"TLS1_1","www.culture.fr/143.126.211.8","443","INFO","not offered","",""
"TLS1_2","www.culture.fr/143.126.211.8","443","OK","offered","",""
"TLS1_3","www.culture.fr/143.126.211.8","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","www.culture.fr/143.126.211.8","443","OK","h2","",""
"ALPN","www.culture.fr/143.126.211.8","443","INFO","http/1.1","",""
"cipherlist_NULL","www.culture.fr/143.126.211.8","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.culture.fr/143.126.211.8","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.culture.fr/143.126.211.8","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.culture.fr/143.126.211.8","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.culture.fr/143.126.211.8","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.culture.fr/143.126.211.8","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.culture.fr/143.126.211.8","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.culture.fr/143.126.211.8","443","OK","offered","",""
"cipher_order-tls1_2","www.culture.fr/143.126.211.8","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.culture.fr/143.126.211.8","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","www.culture.fr/143.126.211.8","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.culture.fr/143.126.211.8","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","www.culture.fr/143.126.211.8","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.culture.fr/143.126.211.8","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.culture.fr/143.126.211.8","443","INFO","NOT a cipher order configured","",""
"FS","www.culture.fr/143.126.211.8","443","OK","offered","",""
"FS_ciphers","www.culture.fr/143.126.211.8","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.culture.fr/143.126.211.8","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.culture.fr/143.126.211.8","443","INFO","'server name/#0' 'EC point formats/#11' 'heartbeat/#15' 'application layer protocol negotiation/#16' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.culture.fr/143.126.211.8","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.culture.fr/143.126.211.8","443","INFO","yes","",""
"sessionresumption_ticket","www.culture.fr/143.126.211.8","443","INFO","not supported","",""
"sessionresumption_ID","www.culture.fr/143.126.211.8","443","INFO","supported","",""
"TLS_timestamp","www.culture.fr/143.126.211.8","443","INFO","random","",""
"cert_compression","www.culture.fr/143.126.211.8","443","INFO","N/A","",""
"clientAuth","www.culture.fr/143.126.211.8","443","INFO","none","",""
"cert_numbers","www.culture.fr/143.126.211.8","443","INFO","1","",""
"cert_signatureAlgorithm","www.culture.fr/143.126.211.8","443","OK","SHA256 with RSA","",""
"cert_keySize","www.culture.fr/143.126.211.8","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.culture.fr/143.126.211.8","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.culture.fr/143.126.211.8","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.culture.fr/143.126.211.8","443","INFO","05F6FD1EF1EA8C4E228C24AF41C185B8F3AE","",""
"cert_serialNumberLen","www.culture.fr/143.126.211.8","443","INFO","18","",""
"cert_fingerprintSHA1","www.culture.fr/143.126.211.8","443","INFO","F0C56384E81C7FD5E31B04013053C6B3F4E414CC","",""
"cert_fingerprintSHA256","www.culture.fr/143.126.211.8","443","INFO","E1D69B93BE0BAA77ECB98309F0C720B4C627C354A105525EC135C362F48E66E2","",""
"cert","www.culture.fr/143.126.211.8","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFFDCCA/ygAwIBAgISBfb9HvHqjE4ijCSvQcGFuPOuMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTMwHhcNMjUwOTI1MDkzMjE5WhcNMjUxMjI0MDkzMjE4WjAfMR0wGwYDVQQDExRwcm9kLWNudjIuY3VsdHVyZS5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALG4q0bKLGsLuzLJvLxdTAMeJ2gM/0HDkrYqFHTsHTqvgLuNFWX9+JQK4ZC3tM+M4fITEy694B0r4P9L8Bf/9QAeFJJT1aOU/oa4vnE081AY6V8xOcvktMP8fWRXoQ/RZ9rQH9SgKjt8RiUehuPDnw7CFU36gj3BsKJhEmwl9dbkx6rfN6ekAicKm2HZ/rTM+Ig0TmxZ1VOIqLs/kTtHpoXZdX9Kt++N46r7Dr4iVJDm5KCYsYBHd7egonRfNK7LbqirbIDUugD/hnxi7q8lPOongphLJxNjqXNnI5ZfU+6oqmMwiyfFYmzOlVTuVNpIkyZcyiySf6SUX3ZDyNcP0J0CAwEAAaOCAjQwggIwMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUyCV8OAZPdueiOijnAz3R/BeUJdAwHwYDVR0jBBgwFoAU56ufDywzoFPTXk94yLKEDjvWkjMwMwYIKwYBBQUHAQEEJzAlMCMGCCsGAQUFBzAChhdodHRwOi8vcjEzLmkubGVuY3Iub3JnLzAvBgNVHREEKDAmghRwcm9kLWNudjIuY3VsdHVyZS5mcoIOd3d3LmN1bHR1cmUuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwLgYDVR0fBCcwJTAjoCGgH4YdaHR0cDovL3IxMy5jLmxlbmNyLm9yZy80Ny5jcmwwggEEBgorBgEEAdZ5AgQCBIH1BIHyAPAAdgCkQsUGSWBhVI8P1Oqc+3otJkVNh6l/L99FWfYnTzqEVAAAAZmAbPthAAAEAwBHMEUCIQDcgZr3p2CkJBJI3bnp3BXcNTWU5pCMX8I6p96mthV4iwIgfuXmSWwQHhv6zrIhT7QcZSibUfv0XWM68zgbTvBEmTMAdgAZhtTHKKpv/roDb3gqTQGRqs4tcjEPrs5dcEEtJUzH1AAAAZmAbPtiAAAEAwBHMEUCIQDou0ZewC6rmiTHs2ul3nqESdQc1LHTowPI1ajU9qni/AIgXJoiagZKSCncm8qAlo87oF4nYRLcuxyUBkOR3PTrGYAwDQYJKoZIhvcNAQELBQADggEBAHmJXvrUyo5S9JnBz1tCQO+4VrU+m4JjE/JdqEAFaFM/5YcUQUcNHr6oT6J+3GRODnrSjMinKR7c/fJnqXW3VxmYIUEJcj92OS+0Th5Z/rzpjn72CPSPVL3Jk/hAnA2LRR0LvqxMxqhf+THcmtC+BuFb4EHQZDtqfDFMIIDh/vBbb5vlvtWMWuaPCSEK6qKa3uFXbTsX2XkJ3ufPlMCGLvySjLgERTuIDQ5WrCIragG5/BjL00A4M4VKDmldAEwUWw4VFn/TWetvW+4NUMaE27VP28CDT7Dn5WQnk0UVuD1rnveFpNpURmR/CxLvQOV7SzOyXe4N6J08YDQiJ3gUawc=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.culture.fr/143.126.211.8","443","OK","prod-cnv2.culture.fr","",""
"cert_commonName_wo_SNI","www.culture.fr/143.126.211.8","443","INFO","archives-nationales-travail.culture.gouv.fr","",""
"cert_subjectAltName","www.culture.fr/143.126.211.8","443","INFO","prod-cnv2.culture.fr www.culture.fr","",""
"cert_trust","www.culture.fr/143.126.211.8","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","www.culture.fr/143.126.211.8","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.culture.fr/143.126.211.8","443","INFO","no","",""
"cert_expirationStatus","www.culture.fr/143.126.211.8","443","OK","87 >= 30 days","",""
