"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","HTTP","",""
"pre_128cipher","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"SSLv3","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"TLS1","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_1","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_2","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"TLS1_3","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","offered with final","",""
"ALPN_HTTP2","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","h2","",""
"cipherlist_NULL","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"cipher_order-tls1_2","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","server","",""
"cipherorder_TLSv1_2","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"FS_ciphers","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","prime256v1","",""
"TLS_extensions","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","no","",""
"sessionresumption_ticket","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","not supported","",""
"sessionresumption_ID","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","random","",""
"certificate_compression","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"clientAuth","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"cert_numbers","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","1","",""
"cert_signatureAlgorithm","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","ECDSA with SHA384","",""
"cert_keySize","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","Digital Signature","",""
"cert_extKeyUsage","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","06AF14EA2916B00600F188F87F788387CD06","",""
"cert_serialNumberLen","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","18","",""
"cert_fingerprintSHA1","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","798586BAD5F9F9EB2684B6B6DA0ECA9C6B0923F2","",""
"cert_fingerprintSHA256","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","DA1B3981DBF2BCABE54037708A836E4CBC6BED82ACD92DC95582FD9FB4FA95E4","",""
"cert","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDuDCCAz6gAwIBAgISBq8U6ikWsAYA8Yj4f3iDh80GMAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFODAeFw0yNjA0MDYxMTQwNDRaFw0yNjA3MDUxMTQwNDNaMDIxMDAuBgNVBAMTJ3d3dy5hcmNoaXZlcy1uYXRpb25hbGVzLmN1bHR1cmUuZ291di5mcjBZMBMGByqGSM49AgEGCCqGSM49AwEHA0IABH6DHf4riZK1pGeOP3wfMx30WoaJdi2/B1ntkSlXCBEO3QlRN+EBKp7zkl3colZj5ckPgVGtDT0LGACHaNlBs+SjggIyMIICLjAOBgNVHQ8BAf8EBAMCB4AwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUutItD92SAM3WTWpXl9DerNa+DFwwHwYDVR0jBBgwFoAUjw0TovYuftFQbDMYOF1ZjiNykcowMgYIKwYBBQUHAQEEJjAkMCIGCCsGAQUFBzAChhZodHRwOi8vZTguaS5sZW5jci5vcmcvMDIGA1UdEQQrMCmCJ3d3dy5hcmNoaXZlcy1uYXRpb25hbGVzLmN1bHR1cmUuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATAsBgNVHR8EJTAjMCGgH6AdhhtodHRwOi8vZTguYy5sZW5jci5vcmcvNy5jcmwwggEMBgorBgEEAdZ5AgQCBIH9BIH6APgAdgDIo8R/x7OtuTVrAT9qehJt4zpOQ6XGRvmXrTl1mR3PmgAAAZ1izeYsAAAEAwBHMEUCIASh1/hO/Gpy+qAkNHpVKZ3x6MNKwVzBFJEtzBY6a+0YAiEA3kxwpqaUezm5AJgR4PEI2hQOMTJddES4wOhQcbZ4mn4AfgBGr4Y9Oz7ln6V33qgkXTaw2e0ioiP0YXdBIpRS7pVQXwAAAZ1izeaZAAgAAAUAAydTIwQDAEcwRQIgVOzIDS9JEb3iltD0fkQfiD79P86jOcSiCe8hjW5hH9cCIQC9yx4C++sg8rdn18MMph31j1SP3aoqwtFoif6cCDfsKjAKBggqhkjOPQQDAwNoADBlAjAuIO96UkaJSS8okK0s3q8Qp+5FvBV5jvnPgScWYyAwu1O/Bov5G0PNx/oCOqJiQJUCMQD/c0izCO2hBvVCfNnYzZ+RKMhA89z+DGl/wITIxgwAJQKY6H3xToyZXw1C37dgRvM=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","www.archives-nationales.culture.gouv.fr","",""
"cert_commonName_wo_SNI","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","request w/o SNI didn't succeed, usual for EC certificates","",""
"cert_subjectAltName","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","www.archives-nationales.culture.gouv.fr","",""
"cert_trust","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","no","",""
"cert_expirationStatus","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","35 >= 30 days","",""
"cert_notBefore","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","2026-04-06 11:40","",""
"cert_notAfter","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","2026-07-05 11:40","",""
"cert_extlifeSpan","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","not present","",""
"cert_crlDistributionPoints","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","http://e8.c.lencr.org/7.crl","",""
"cert_ocspURL","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","--","",""
"OCSP_stapling","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"cert_mustStapleExtension","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","--","",""
"DNS_CAArecord","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","issue=certigna.com, issue=letsencrypt.org","",""
"certificate_transparency","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","OK","yes (certificate extension)","",""
"certs_countServer","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","2","",""
"certs_list_ordering_problem","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","no","",""
"cert_caIssuers","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","E8 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEVjCCAj6gAwIBAgIQY5WTY8JOcIJxWRi/w9ftVjANBgkqhkiG9w0BAQsFADBPMQswCQYDVQQGEwJVUzEpMCcGA1UEChMgSW50ZXJuZXQgU2VjdXJpdHkgUmVzZWFyY2ggR3JvdXAxFTATBgNVBAMTDElTUkcgUm9vdCBYMTAeFw0yNDAzMTMwMDAwMDBaFw0yNzAzMTIyMzU5NTlaMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFODB2MBAGByqGSM49AgEGBSuBBAAiA2IABNFl8l7cS7QMApzSsvru6WyrOq44ofTUOTIzxULUzDMMNMchIJBwXOhiLxxxs0LXeb5GDcHbR6EToMffgSZjO9SNHfY9gjMy9vQr5/WWOrQTZxh7az6NSNnq3u2ubT6HTKOB+DCB9TAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFI8NE6L2Ln7RUGwzGDhdWY4jcpHKMB8GA1UdIwQYMBaAFHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzATBgNVHSAEDDAKMAgGBmeBDAECATAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veDEuYy5sZW5jci5vcmcvMA0GCSqGSIb3DQEBCwUAA4ICAQBnE0hGINKsCYWi0Xx1ygxD5qihEjZ0RI3tTZz1wuATH3ZwYPIp97kWEayanD1j0cDhIYzy4CkDo2jB8D5t0a6zZWzlr98dAQFNh8uKJkIHdLShy+nUyeZxc5bNeMp1Lu0gSzE4McqfmNMvIpeiwWSYO9w82Ob8otvXcO2JUYi3svHIWRm3+707DUbL51XMcY2iZdlCq4Wa9nbuk3WTU4gr6LY8MzVAaDQG2+4U3eJ6qUF10bBnR1uuVyDYs9RhrwucRVnfuDj29CMLTsplM5f5wSV5hUpmUwp/vV7M4w4aGunt74koX71n4EdagCsL/Yk5+mAQU0+tue0JOfAV/R6t1k+Xk9s2HMQFeoxppfzAVC04FdG9M+AC2JWxmFSt6BCuh3CEey3fE52Qrj9YM75rtvIjsm/1Hl+u//Wqxnu1ZQ4jpa+VpuZiGOlWrqSP9eogdOhCGisnyewWJwRQOqK16wiGyZeRxs/Bekw65vwSIaVkBruPiTfMOo0Zh4gVa8/qJgMbJbyrwwG97z/PRgmLKCDl8z3dtA0Z7qq7fta0Gl24uyuB05dqI5J1LvAzKuWdIjT1tP8qCoxSE/xpix8hX2dt3h+/jujUgFPFZ0EVZ0xSyBNRF3MboGZnYXFUxpNjTWPKpagDHJQmqrAcDmWJnMsFY3jSu1igv3OefnWjSQ==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","www.archives-nationales.culture.gouv.fr/87.98.187.73","443","INFO","83624FD338C8D9B023C18A67CB7A9C0519DA43D11775B4C6CBDAD45C3D997C52","",""
