"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","archives-map.culture.gouv.fr/91.223.76.144","443","INFO","HTTP","",""
"pre_128cipher","archives-map.culture.gouv.fr/91.223.76.144","443","INFO","No 128 cipher limit bug","",""
"SSLv2","archives-map.culture.gouv.fr/91.223.76.144","443","OK","not offered","",""
"SSLv3","archives-map.culture.gouv.fr/91.223.76.144","443","OK","not offered","",""
"TLS1","archives-map.culture.gouv.fr/91.223.76.144","443","INFO","not offered","",""
"TLS1_1","archives-map.culture.gouv.fr/91.223.76.144","443","INFO","not offered","",""
"TLS1_2","archives-map.culture.gouv.fr/91.223.76.144","443","OK","offered","",""
"TLS1_3","archives-map.culture.gouv.fr/91.223.76.144","443","OK","offered with final","",""
"ALPN_HTTP2","archives-map.culture.gouv.fr/91.223.76.144","443","OK","h2","",""
"ALPN","archives-map.culture.gouv.fr/91.223.76.144","443","INFO","http/1.1","",""
"cipherlist_NULL","archives-map.culture.gouv.fr/91.223.76.144","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","archives-map.culture.gouv.fr/91.223.76.144","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","archives-map.culture.gouv.fr/91.223.76.144","443","OK","not offered","","CWE-327"
"cipherlist_LOW","archives-map.culture.gouv.fr/91.223.76.144","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","archives-map.culture.gouv.fr/91.223.76.144","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","archives-map.culture.gouv.fr/91.223.76.144","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","archives-map.culture.gouv.fr/91.223.76.144","443","INFO","not offered","",""
"cipherlist_STRONG_FS","archives-map.culture.gouv.fr/91.223.76.144","443","OK","offered","",""
"cipher_order-tls1_2","archives-map.culture.gouv.fr/91.223.76.144","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","archives-map.culture.gouv.fr/91.223.76.144","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
