"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","atlasculture.fr/151.101.130.216","443","INFO","HTTP","",""
"pre_128cipher","atlasculture.fr/151.101.130.216","443","INFO","No 128 cipher limit bug","",""
"SSLv2","atlasculture.fr/151.101.130.216","443","OK","not offered","",""
"SSLv3","atlasculture.fr/151.101.130.216","443","OK","not offered","",""
"TLS1","atlasculture.fr/151.101.130.216","443","INFO","not offered","",""
"TLS1_1","atlasculture.fr/151.101.130.216","443","INFO","not offered","",""
"TLS1_2","atlasculture.fr/151.101.130.216","443","OK","offered","",""
"TLS1_3","atlasculture.fr/151.101.130.216","443","OK","offered with final","",""
"ALPN_HTTP2","atlasculture.fr/151.101.130.216","443","OK","h2","",""
"ALPN","atlasculture.fr/151.101.130.216","443","INFO","http/1.1","",""
"cipherlist_NULL","atlasculture.fr/151.101.130.216","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","atlasculture.fr/151.101.130.216","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","atlasculture.fr/151.101.130.216","443","OK","not offered","","CWE-327"
"cipherlist_LOW","atlasculture.fr/151.101.130.216","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","atlasculture.fr/151.101.130.216","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","atlasculture.fr/151.101.130.216","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","atlasculture.fr/151.101.130.216","443","INFO","not offered","",""
"cipherlist_STRONG_FS","atlasculture.fr/151.101.130.216","443","OK","offered","",""
"cipher_order-tls1_2","atlasculture.fr/151.101.130.216","443","OK","server","",""
"cipherorder_TLSv1_2","atlasculture.fr/151.101.130.216","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","atlasculture.fr/151.101.130.216","443","OK","server","",""
"FS","atlasculture.fr/151.101.130.216","443","OK","offered","",""
"FS_ciphers","atlasculture.fr/151.101.130.216","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","atlasculture.fr/151.101.130.216","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","atlasculture.fr/151.101.130.216","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","atlasculture.fr/151.101.130.216","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","atlasculture.fr/151.101.130.216","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","atlasculture.fr/151.101.130.216","443","INFO","yes","",""
"sessionresumption_ticket","atlasculture.fr/151.101.130.216","443","INFO","supported","",""
"sessionresumption_ID","atlasculture.fr/151.101.130.216","443","INFO","supported","",""
"TLS_timestamp","atlasculture.fr/151.101.130.216","443","INFO","random","",""
"certificate_compression","atlasculture.fr/151.101.130.216","443","INFO","none","",""
"clientAuth","atlasculture.fr/151.101.130.216","443","INFO","none","",""
"cert_numbers","atlasculture.fr/151.101.130.216","443","INFO","1","",""
"cert_signatureAlgorithm","atlasculture.fr/151.101.130.216","443","OK","SHA256 with RSA","",""
"cert_keySize","atlasculture.fr/151.101.130.216","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","atlasculture.fr/151.101.130.216","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","atlasculture.fr/151.101.130.216","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","atlasculture.fr/151.101.130.216","443","INFO","050BA4A69F0374B28E3DE0D2579151B5D92B","",""
"cert_serialNumberLen","atlasculture.fr/151.101.130.216","443","INFO","18","",""
"cert_fingerprintSHA1","atlasculture.fr/151.101.130.216","443","INFO","307AD936DFD6382CC0A2AC67D51CF4BB05371624","",""
"cert_fingerprintSHA256","atlasculture.fr/151.101.130.216","443","INFO","91C95E9E7252F7480B4C994038B31E0B1D20F1147302E2F77380EBFDCF69B826","",""
