"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","chateau-pau.fr/87.252.7.122","443","INFO","HTTP","",""
"pre_128cipher","chateau-pau.fr/87.252.7.122","443","INFO","No 128 cipher limit bug","",""
"SSLv2","chateau-pau.fr/87.252.7.122","443","OK","not offered","",""
"SSLv3","chateau-pau.fr/87.252.7.122","443","OK","not offered","",""
"TLS1","chateau-pau.fr/87.252.7.122","443","INFO","not offered","",""
"TLS1_1","chateau-pau.fr/87.252.7.122","443","INFO","not offered","",""
"TLS1_2","chateau-pau.fr/87.252.7.122","443","OK","offered","",""
"TLS1_3","chateau-pau.fr/87.252.7.122","443","OK","offered with final","",""
"ALPN_HTTP2","chateau-pau.fr/87.252.7.122","443","OK","h2","",""
"ALPN","chateau-pau.fr/87.252.7.122","443","INFO","http/1.1","",""
"cipherlist_NULL","chateau-pau.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","chateau-pau.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","chateau-pau.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_LOW","chateau-pau.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","chateau-pau.fr/87.252.7.122","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","chateau-pau.fr/87.252.7.122","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","chateau-pau.fr/87.252.7.122","443","INFO","not offered","",""
"cipherlist_STRONG_FS","chateau-pau.fr/87.252.7.122","443","OK","offered","",""
"cipher_order-tls1_2","chateau-pau.fr/87.252.7.122","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","chateau-pau.fr/87.252.7.122","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","chateau-pau.fr/87.252.7.122","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","chateau-pau.fr/87.252.7.122","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","chateau-pau.fr/87.252.7.122","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","chateau-pau.fr/87.252.7.122","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","chateau-pau.fr/87.252.7.122","443","INFO","NOT a cipher order configured","",""
"FS","chateau-pau.fr/87.252.7.122","443","OK","offered","",""
"FS_ciphers","chateau-pau.fr/87.252.7.122","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","chateau-pau.fr/87.252.7.122","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","chateau-pau.fr/87.252.7.122","443","INFO","'server name/#0' 'supported_groups/#10' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","chateau-pau.fr/87.252.7.122","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","chateau-pau.fr/87.252.7.122","443","INFO","yes","",""
"sessionresumption_ticket","chateau-pau.fr/87.252.7.122","443","INFO","supported","",""
"sessionresumption_ID","chateau-pau.fr/87.252.7.122","443","INFO","not supported","",""
"TLS_timestamp","chateau-pau.fr/87.252.7.122","443","INFO","random","",""
"certificate_compression","chateau-pau.fr/87.252.7.122","443","INFO","none","",""
"clientAuth","chateau-pau.fr/87.252.7.122","443","INFO","none","",""
"cert_numbers","chateau-pau.fr/87.252.7.122","443","INFO","1","",""
"cert_signatureAlgorithm","chateau-pau.fr/87.252.7.122","443","OK","SHA256 with RSA","",""
"cert_keySize","chateau-pau.fr/87.252.7.122","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","chateau-pau.fr/87.252.7.122","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","chateau-pau.fr/87.252.7.122","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","chateau-pau.fr/87.252.7.122","443","INFO","05E2D914E1725AB23B18703BEC61F9FC9DEE","",""
"cert_serialNumberLen","chateau-pau.fr/87.252.7.122","443","INFO","18","",""
"cert_fingerprintSHA1","chateau-pau.fr/87.252.7.122","443","INFO","1D6E3CBEE6743EAD3F64F3198014B5C4778457D9","",""
"cert_fingerprintSHA256","chateau-pau.fr/87.252.7.122","443","INFO","61A0DFABF5794CE2894176E789FB8245E99AD545AE64AE3F1D19AF149C50CB35","",""
