"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","not offered","",""
"SSLv3","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","not offered","",""
"TLS1","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"TLS1_3","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","h2","",""
"ALPN","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG_FS","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"cipher_order-tls1_2","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","server","",""
"cipherorder_TLSv1_2","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","server","",""
"FS","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"FS_ciphers","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","not supported","",""
"sessionresumption_ID","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","not supported","",""
"TLS_timestamp","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","random","",""
"certificate_compression","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","none","",""
"clientAuth","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","none","",""
"cert_numbers","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","1","",""
"cert_signatureAlgorithm","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","SHA256 with RSA","",""
"cert_keySize","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","0585C2F46FF771D53456D2961899D05EBD81","",""
"cert_serialNumberLen","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","18","",""
"cert_fingerprintSHA1","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","8AA502DDCA001F1D32A54E835F2D05271133ADA0","",""
"cert_fingerprintSHA256","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","FB79E9A58FE977380ACD8F6CF2024C2F12753E095D6A82CD3EFCBF91F68631FB","",""
"cert","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFEzCCA/ugAwIBAgISBYXC9G/3cdU0VtKWGJnQXr2BMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTIwHhcNMjYwNTEyMDkzNDM4WhcNMjYwODEwMDkzNDM3WjAoMSYwJAYDVQQDEx1jb21wdGUtcmVuZHUtdmlmLmJldGEuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAKsHiguFms0JUL3557fYHsmU7EOYizya/da1HqIFsF3O9Iw01t8fFfhCYBd+X50ntYLbyk2RFgGVr8I0INas1OA1YVw9LnrdOSr5vYYSnIPpQFexP23BF11DDedrhKskLxPPLiZMtwsY/I1eEoEu755TCOX3eUYdoTK3iECuD+j0FeOKM+AxXwIBnHXIwz7YvcKgH5Lcm83TweGU/1gEm60mMkdursRwOeNN4URtJgQHwrpcs7dRN33BUA6yP4dSdtk+05a0X4xT0uby1gv5SZmxTLZWUS6GsN9uw/7m9Pmxd/8ZY33t52hIkCvW8hcNjiCuB0JNElsONWp6TE6a9JsCAwEAAaOCAiowggImMA4GA1UdDwEB/wQEAwIFoDATBgNVHSUEDDAKBggrBgEFBQcDATAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBQwSNdoIhr6Y4TRaIUjnCG0PZhj7jAfBgNVHSMEGDAWgBQAtSnyLY5vMeibTK14Pvrc6QzR0jAzBggrBgEFBQcBAQQnMCUwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTIuaS5sZW5jci5vcmcvMCgGA1UdEQQhMB+CHWNvbXB0ZS1yZW5kdS12aWYuYmV0YS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC0GA1UdHwQmMCQwIqAgoB6GHGh0dHA6Ly9yMTIuYy5sZW5jci5vcmcvMi5jcmwwggEMBgorBgEEAdZ5AgQCBIH9BIH6APgAdgDIo8R/x7OtuTVrAT9qehJt4zpOQ6XGRvmXrTl1mR3PmgAAAZ4bv2S5AAAEAwBHMEUCIEt4HV6XeHqgxrNAV7i7IJOQ5J4FQJyQIglqnDmQOFVwAiEA6/Fbp+DQHeP3M9Iu6vhtjMkAuGsLVFXtJNGWkN0yIPMAfgBGr4Y9Oz7ln6V33qgkXTaw2e0ioiP0YXdBIpRS7pVQXwAAAZ4bv2V6AAgAAAUABmKATgQDAEcwRQIhAJKg+Uc8C5I8XWvn95Shh06c+c+rLP8zUhIeU9GV83e3AiAS46LF5xUrRAgSYuu7lXxjIbMgkLImzR2MfAju2rHtTzANBgkqhkiG9w0BAQsFAAOCAQEAy9/9DTnpobMZCol3E/iJCNtaVm+3sDl/3vnA2icFFYkuZQcEgwtObZskOt9XHBPm4II2blqggsgpRHkPG29VF8lDGydzWwO/TMEQoVe7i51bfGP9RTIAaerPjJvqoroneX8tjBIx6wzOn8HToX7Ny5m66O7wfTVOOCAyoayhSeIH6r+5Tsv1ByMAzp6xLEzb9erS/6LAzbT3z0/QzdSbeU7SKpc4Tj/a4n8Tb0jKta17VnAYlcUf5CRd0mmzQJBZTa2tpDNDtwrVTnWP+Ux1enGFDyiFECr2t/4FUtR8g1KAbd+AaFn/4Be39FP+bfQN0qP+l6r1Tl3eN0gyKvoyjA==\n-----END CERTIFICATE-----","",""
"cert_commonName","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","compte-rendu-vif.beta.gouv.fr","",""
"cert_commonName_wo_SNI","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","compte-rendu-vif.beta.gouv.fr","",""
"cert_trust","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","passed.","",""
"cert_certificatePolicies_EV","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","no","",""
"cert_expirationStatus","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","49 >= 30 days","",""
"cert_notBefore","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","INFO","2026-05-12 09:34","",""
"cert_notAfter","compte-rendu-vif.beta.gouv.fr/5.104.101.30","443","OK","2026-08-10 09:34","",""
