"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","data.culture.gouv.fr/109.232.232.161","443","INFO","HTTP","",""
"pre_128cipher","data.culture.gouv.fr/109.232.232.161","443","INFO","No 128 cipher limit bug","",""
"SSLv2","data.culture.gouv.fr/109.232.232.161","443","OK","not offered","",""
"SSLv3","data.culture.gouv.fr/109.232.232.161","443","OK","not offered","",""
"TLS1","data.culture.gouv.fr/109.232.232.161","443","INFO","not offered","",""
"TLS1_1","data.culture.gouv.fr/109.232.232.161","443","INFO","not offered","",""
"TLS1_2","data.culture.gouv.fr/109.232.232.161","443","OK","offered","",""
"TLS1_3","data.culture.gouv.fr/109.232.232.161","443","OK","offered with final","",""
"ALPN_HTTP2","data.culture.gouv.fr/109.232.232.161","443","OK","h2","",""
"ALPN","data.culture.gouv.fr/109.232.232.161","443","INFO","http/1.1","",""
"cipherlist_NULL","data.culture.gouv.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","data.culture.gouv.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","data.culture.gouv.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_LOW","data.culture.gouv.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","data.culture.gouv.fr/109.232.232.161","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","data.culture.gouv.fr/109.232.232.161","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","data.culture.gouv.fr/109.232.232.161","443","INFO","not offered","",""
"cipherlist_STRONG_FS","data.culture.gouv.fr/109.232.232.161","443","OK","offered","",""
"cipher_order-tls1_2","data.culture.gouv.fr/109.232.232.161","443","OK","server","",""
"cipherorder_TLSv1_2","data.culture.gouv.fr/109.232.232.161","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","data.culture.gouv.fr/109.232.232.161","443","OK","server","",""
"FS","data.culture.gouv.fr/109.232.232.161","443","OK","offered","",""
"FS_ciphers","data.culture.gouv.fr/109.232.232.161","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","data.culture.gouv.fr/109.232.232.161","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","data.culture.gouv.fr/109.232.232.161","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
