"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","HTTP","",""
"pre_128cipher","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ellesfontla.culture.gouv.fr/151.101.66.216","443","OK","not offered","",""
"SSLv3","ellesfontla.culture.gouv.fr/151.101.66.216","443","OK","not offered","",""
"TLS1","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","not offered","",""
"TLS1_1","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","not offered","",""
"TLS1_2","ellesfontla.culture.gouv.fr/151.101.66.216","443","OK","offered","",""
"TLS1_3","ellesfontla.culture.gouv.fr/151.101.66.216","443","OK","offered with final","",""
"ALPN_HTTP2","ellesfontla.culture.gouv.fr/151.101.66.216","443","OK","h2","",""
"ALPN","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","http/1.1","",""
"cipherlist_NULL","ellesfontla.culture.gouv.fr/151.101.66.216","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ellesfontla.culture.gouv.fr/151.101.66.216","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ellesfontla.culture.gouv.fr/151.101.66.216","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ellesfontla.culture.gouv.fr/151.101.66.216","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ellesfontla.culture.gouv.fr/151.101.66.216","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ellesfontla.culture.gouv.fr/151.101.66.216","443","OK","offered","",""
"cipher_order-tls1_2","ellesfontla.culture.gouv.fr/151.101.66.216","443","OK","server","",""
"cipherorder_TLSv1_2","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","ellesfontla.culture.gouv.fr/151.101.66.216","443","OK","server","",""
"FS","ellesfontla.culture.gouv.fr/151.101.66.216","443","OK","offered","",""
"FS_ciphers","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","ellesfontla.culture.gouv.fr/151.101.66.216","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","ellesfontla.culture.gouv.fr/151.101.66.216","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","yes","",""
"sessionresumption_ticket","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","supported","",""
"sessionresumption_ID","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","supported","",""
"TLS_timestamp","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","random","",""
"certificate_compression","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","none","",""
"clientAuth","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","none","",""
"cert_numbers","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","1","",""
"cert_signatureAlgorithm","ellesfontla.culture.gouv.fr/151.101.66.216","443","OK","SHA256 with RSA","",""
"cert_keySize","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","050E67191F884499648505F3790835A29418","",""
"cert_serialNumberLen","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","18","",""
"cert_fingerprintSHA1","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","DF9AC3C952DDA9324D571CFE04017D545B996F16","",""
"cert_fingerprintSHA256","ellesfontla.culture.gouv.fr/151.101.66.216","443","INFO","4ABB088339C5A002DC5C2FCC58109E32E3A651BCB58D8C6AD3EE7E3180BCB24E","",""
