"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","HTTP","",""
"pre_128cipher","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"SSLv3","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"TLS1","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_1","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_2","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"TLS1_3","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","offered with final","",""
"ALPN_HTTP2","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","h2","",""
"cipherlist_NULL","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"cipher_order-tls1_2","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","server","",""
"cipherorder_TLSv1_2","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","server -- TLS 1.3 client determined","",""
"FS","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"FS_ciphers","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","prime256v1","",""
"TLS_extensions","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","no","",""
"sessionresumption_ticket","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","not supported","",""
"sessionresumption_ID","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","random","",""
"certificate_compression","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"clientAuth","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"cert_numbers","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","1","",""
"cert_signatureAlgorithm","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","ECDSA with SHA384","",""
"cert_keySize","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","Digital Signature","",""
"cert_extKeyUsage","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","066B6526854775B4C32A81A1749CAB0AE1DD","",""
"cert_serialNumberLen","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","18","",""
"cert_fingerprintSHA1","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","52591F2EFCDE09187BEEC2F0ECEA38CA4DF1BC95","",""
"cert_fingerprintSHA256","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","CC9032FDA76596C8A0CEEF3A8CEF4577962CE2B3F4CA1EC1D98CFACE9E2A4186","",""
"cert","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEijCCBBCgAwIBAgISBmtlJoVHdbTDKoGhdJyrCuHdMAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFNTAeFw0yNTA2MTgwOTIyNTVaFw0yNTA5MTYwOTIyNTRaMC8xLTArBgNVBAMTJGpvdXJuZWVzZHVwYXRyaW1vaW5lLmN1bHR1cmUuZ291di5mcjBZMBMGByqGSM49AgEGCCqGSM49AwEHA0IABLsRee5Sl5/rB09TqmKXneEubB4r8J6yxwDg0rxBLUKaoUwnzO/wh0tvxzoXafOPDISksnFpAxRq8dRhXcRe8/KjggMHMIIDAzAOBgNVHQ8BAf8EBAMCB4AwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFL9F7lp00jiWH+63BBnps/5Tuii8MB8GA1UdIwQYMBaAFJ8rX888IU+dBLftKyzExnCL0tcNMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL2U1LmkubGVuY3Iub3JnLzCCAQMGA1UdEQSB+zCB+IIdYmlibGlzZW5mb2xpZS5jdWx0dXJlLmdvdXYuZnKCH2ZldGVkZWxhbXVzaXF1ZS5jdWx0dXJlLmdvdXYuZnKCKGZvcnVtZW50cmVwcmVuZHJlY3VsdHVyZS5jdWx0dXJlLmdvdXYuZnKCJGpvdXJuZWVzZHVwYXRyaW1vaW5lLmN1bHR1cmUuZ291di5mcoIhbGliZXJhdGlvbmRlcGFyaXMuY3VsdHVyZS5nb3V2LmZygh1udWl0ZGVzbXVzZWVzLmN1bHR1cmUuZ291di5mcoIkcmVuZGV6dm91c2F1eGphcmRpbnMuY3VsdHVyZS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC0GA1UdHwQmMCQwIqAgoB6GHGh0dHA6Ly9lNS5jLmxlbmNyLm9yZy85NC5jcmwwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdgDtPEvW6AbCpKIAV9vLJOI4Ad9RL+3EhsVwDyDdtz4/4AAAAZeCjsn3AAAEAwBHMEUCIDP1deHq+Js2+uDe7F5lDq1zdIzV6P6vRaW5XxtUj9S+AiEAvz/J5IOMNLrJXJPoFCF1wWiuFPfm7/n52KTkEdNiBkkAdQDd3Mo0ldfhFgXnlTL6x5/4PRxQ39sAOhQSdgosrLvIKgAAAZeCjsosAAAEAwBGMEQCIEI1nDlU5f3A3+rVUX5sVlm+zmLNqdWgKqzPsARjLXlQAiBfHPZl8V20GKNY0x8j6aTG/0hkkD2rOHvbwzZh/jH6NjAKBggqhkjOPQQDAwNoADBlAjEAlCbL6Wx7liS1fkAcEiT4V+tC46eEXN6dSh05xj80bey6oC5Aivq8IVUt9v1gsTEJAjBsiKgyCe7rROJr8eXPoj9Zd00JtcrfthLHb39Q+m4IqP6V8h0M/cnPRkKcI9Fubr4=\n-----END CERTIFICATE-----","",""
"cert_commonName","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","journeesdupatrimoine.culture.gouv.fr","",""
"cert_commonName_wo_SNI","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","request w/o SNI didn't succeed, usual for EC certificates","",""
"cert_subjectAltName","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","biblisenfolie.culture.gouv.fr fetedelamusique.culture.gouv.fr forumentreprendreculture.culture.gouv.fr journeesdupatrimoine.culture.gouv.fr liberationdeparis.culture.gouv.fr nuitdesmusees.culture.gouv.fr rendezvousauxjardins.culture.gouv.fr","",""
"cert_trust","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","passed.","",""
"cert_certificatePolicies_EV","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","no","",""
"cert_expirationStatus","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","86 >= 30 days","",""
"cert_notBefore","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","INFO","2025-06-18 09:22","",""
"cert_notAfter","forumentreprendreculture.culture.gouv.fr/87.98.187.73","443","OK","2025-09-16 09:22","",""
