"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","garamond.culture.gouv.fr/51.159.155.253","443","INFO","HTTP","",""
"pre_128cipher","garamond.culture.gouv.fr/51.159.155.253","443","INFO","No 128 cipher limit bug","",""
"SSLv2","garamond.culture.gouv.fr/51.159.155.253","443","OK","not offered","",""
"SSLv3","garamond.culture.gouv.fr/51.159.155.253","443","OK","not offered","",""
"TLS1","garamond.culture.gouv.fr/51.159.155.253","443","INFO","not offered","",""
"TLS1_1","garamond.culture.gouv.fr/51.159.155.253","443","INFO","not offered","",""
"TLS1_2","garamond.culture.gouv.fr/51.159.155.253","443","OK","offered","",""
"TLS1_3","garamond.culture.gouv.fr/51.159.155.253","443","OK","offered with final","",""
"ALPN_HTTP2","garamond.culture.gouv.fr/51.159.155.253","443","OK","h2","",""
"ALPN","garamond.culture.gouv.fr/51.159.155.253","443","INFO","http/1.1","",""
"cipherlist_NULL","garamond.culture.gouv.fr/51.159.155.253","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","garamond.culture.gouv.fr/51.159.155.253","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","garamond.culture.gouv.fr/51.159.155.253","443","OK","not offered","","CWE-327"
"cipherlist_LOW","garamond.culture.gouv.fr/51.159.155.253","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","garamond.culture.gouv.fr/51.159.155.253","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","garamond.culture.gouv.fr/51.159.155.253","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","garamond.culture.gouv.fr/51.159.155.253","443","INFO","not offered","",""
"cipherlist_STRONG_FS","garamond.culture.gouv.fr/51.159.155.253","443","OK","offered","",""
"cipher_order-tls1_2","garamond.culture.gouv.fr/51.159.155.253","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","garamond.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","garamond.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","garamond.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","garamond.culture.gouv.fr/51.159.155.253","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","garamond.culture.gouv.fr/51.159.155.253","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","garamond.culture.gouv.fr/51.159.155.253","443","INFO","NOT a server cipher order configured","",""
"FS","garamond.culture.gouv.fr/51.159.155.253","443","OK","offered","",""
"FS_ciphers","garamond.culture.gouv.fr/51.159.155.253","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","garamond.culture.gouv.fr/51.159.155.253","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","garamond.culture.gouv.fr/51.159.155.253","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","garamond.culture.gouv.fr/51.159.155.253","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","garamond.culture.gouv.fr/51.159.155.253","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","garamond.culture.gouv.fr/51.159.155.253","443","INFO","yes","",""
"sessionresumption_ticket","garamond.culture.gouv.fr/51.159.155.253","443","INFO","not supported","",""
"sessionresumption_ID","garamond.culture.gouv.fr/51.159.155.253","443","INFO","supported","",""
"TLS_timestamp","garamond.culture.gouv.fr/51.159.155.253","443","INFO","random","",""
"certificate_compression","garamond.culture.gouv.fr/51.159.155.253","443","INFO","none","",""
"clientAuth","garamond.culture.gouv.fr/51.159.155.253","443","INFO","none","",""
"cert_numbers","garamond.culture.gouv.fr/51.159.155.253","443","INFO","1","",""
"cert_signatureAlgorithm","garamond.culture.gouv.fr/51.159.155.253","443","OK","SHA256 with RSA","",""
"cert_keySize","garamond.culture.gouv.fr/51.159.155.253","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","garamond.culture.gouv.fr/51.159.155.253","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","garamond.culture.gouv.fr/51.159.155.253","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","garamond.culture.gouv.fr/51.159.155.253","443","INFO","0555DB8E001ABC39F750DD6AABA730DB6036","",""
"cert_serialNumberLen","garamond.culture.gouv.fr/51.159.155.253","443","INFO","18","",""
"cert_fingerprintSHA1","garamond.culture.gouv.fr/51.159.155.253","443","INFO","75C13F4AEF91E884320A7DB423E561DBA0D07EAB","",""
"cert_fingerprintSHA256","garamond.culture.gouv.fr/51.159.155.253","443","INFO","F51F0D5222F82C6AA9D6A5FA25BE0D225CBA1CFC16276403B65B012F0EF30F4B","",""
