"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","INFO","HTTP","",""
"pre_128cipher","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","INFO","No 128 cipher limit bug","",""
"SSLv2","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","OK","not offered","",""
"SSLv3","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","OK","not offered","",""
"TLS1","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","INFO","not offered","",""
"TLS1_1","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","INFO","not offered","",""
"TLS1_2","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","OK","offered","",""
"TLS1_3","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","INFO","not offered","",""
"cipherlist_NULL","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","OK","not offered","","CWE-327"
"cipherlist_LOW","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","INFO","not offered","",""
"cipherlist_STRONG_FS","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","OK","offered","",""
"cipher_order-tls1_2","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","journeesarchitecture.culture.gouv.fr/143.126.211.113","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
