"id","fqdn/ip","port","severity","finding","cve","cwe"
"optimal_proto","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","musee-clemenceau-delattre.fr:443 appears to support TLS 1.3 ONLY, switching from /home/testssl/bin/openssl.Linux.x86_64 to /usr/bin/openssl automagically","",""
"engine_problem","musee-clemenceau-delattre.fr/31.193.48.129","443","WARN","No engine or GOST support via engine with your /usr/bin/openssl","",""
"service","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","HTTP","",""
"pre_128cipher","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","No 128 cipher limit bug","",""
"SSLv2","musee-clemenceau-delattre.fr/31.193.48.129","443","OK","not offered","",""
"SSLv3","musee-clemenceau-delattre.fr/31.193.48.129","443","OK","not offered","",""
"TLS1","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","not offered","",""
"TLS1_1","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","not offered","",""
"TLS1_2","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","not offered","",""
"TLS1_3","musee-clemenceau-delattre.fr/31.193.48.129","443","OK","offered with final","",""
"ALPN_HTTP2","musee-clemenceau-delattre.fr/31.193.48.129","443","OK","h2","",""
"ALPN","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","http/1.1","",""
"cipherlist_NULL","musee-clemenceau-delattre.fr/31.193.48.129","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","musee-clemenceau-delattre.fr/31.193.48.129","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","musee-clemenceau-delattre.fr/31.193.48.129","443","OK","not offered","","CWE-327"
"cipherlist_LOW","musee-clemenceau-delattre.fr/31.193.48.129","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","not offered","",""
"cipherlist_STRONG_FS","musee-clemenceau-delattre.fr/31.193.48.129","443","MEDIUM","not offered","",""
"cipher_order","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","not a server cipher order for TLS 1.3 configured","",""
"FS","musee-clemenceau-delattre.fr/31.193.48.129","443","MEDIUM","No ciphers supporting Forward Secrecy offered","",""
"TLS_extensions","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","'server name/#0' 'supported versions/#43' 'key share/#51'","",""
"TLS_session_ticket","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","no","",""
"sessionresumption_ticket","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","not supported","",""
"sessionresumption_ID","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","random","",""
"certificate_compression","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","none","",""
"clientAuth","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","none","",""
"cert_numbers","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","1","",""
"cert_signatureAlgorithm","musee-clemenceau-delattre.fr/31.193.48.129","443","OK","ECDSA with SHA256","",""
"cert_keySize","musee-clemenceau-delattre.fr/31.193.48.129","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","Digital Signature, Key Agreement","",""
"cert_extKeyUsage","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","0891E4C41A82EF24D1F82E86A9C5D068","",""
"cert_serialNumberLen","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","16","",""
"cert_fingerprintSHA1","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","389A435B67D68B6B2858047EE515EED702FE9E77","",""
"cert_fingerprintSHA256","musee-clemenceau-delattre.fr/31.193.48.129","443","INFO","C9C6AE9F3A405F818B2EE86A9FAC57D2504B7C540E1F2C7CAEC10654EE0DC46B","",""
