"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","museedesplansreliefs.fr/87.98.187.73","443","INFO","HTTP","",""
"pre_128cipher","museedesplansreliefs.fr/87.98.187.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","museedesplansreliefs.fr/87.98.187.73","443","OK","not offered","",""
"SSLv3","museedesplansreliefs.fr/87.98.187.73","443","OK","not offered","",""
"TLS1","museedesplansreliefs.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_1","museedesplansreliefs.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_2","museedesplansreliefs.fr/87.98.187.73","443","OK","offered","",""
"TLS1_3","museedesplansreliefs.fr/87.98.187.73","443","OK","offered with final","",""
"ALPN_HTTP2","museedesplansreliefs.fr/87.98.187.73","443","OK","h2","",""
"cipherlist_NULL","museedesplansreliefs.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","museedesplansreliefs.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","museedesplansreliefs.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","museedesplansreliefs.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","museedesplansreliefs.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","museedesplansreliefs.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","museedesplansreliefs.fr/87.98.187.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","museedesplansreliefs.fr/87.98.187.73","443","OK","offered","",""
"cipher_order-tls1_2","museedesplansreliefs.fr/87.98.187.73","443","OK","server","",""
"cipherorder_TLSv1_2","museedesplansreliefs.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","museedesplansreliefs.fr/87.98.187.73","443","OK","server -- TLS 1.3 client determined","",""
"FS","museedesplansreliefs.fr/87.98.187.73","443","OK","offered","",""
"FS_ciphers","museedesplansreliefs.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","museedesplansreliefs.fr/87.98.187.73","443","OK","prime256v1","",""
"TLS_extensions","museedesplansreliefs.fr/87.98.187.73","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","museedesplansreliefs.fr/87.98.187.73","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","museedesplansreliefs.fr/87.98.187.73","443","INFO","no","",""
"sessionresumption_ticket","museedesplansreliefs.fr/87.98.187.73","443","INFO","not supported","",""
"sessionresumption_ID","museedesplansreliefs.fr/87.98.187.73","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","museedesplansreliefs.fr/87.98.187.73","443","INFO","random","",""
"certificate_compression","museedesplansreliefs.fr/87.98.187.73","443","INFO","none","",""
"clientAuth","museedesplansreliefs.fr/87.98.187.73","443","INFO","none","",""
"cert_numbers","museedesplansreliefs.fr/87.98.187.73","443","INFO","1","",""
"cert_signatureAlgorithm","museedesplansreliefs.fr/87.98.187.73","443","OK","ECDSA with SHA384","",""
"cert_keySize","museedesplansreliefs.fr/87.98.187.73","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","museedesplansreliefs.fr/87.98.187.73","443","INFO","Digital Signature","",""
"cert_extKeyUsage","museedesplansreliefs.fr/87.98.187.73","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","museedesplansreliefs.fr/87.98.187.73","443","INFO","052521C6FA223F1732A6371D6BA2EE1926CF","",""
"cert_serialNumberLen","museedesplansreliefs.fr/87.98.187.73","443","INFO","18","",""
"cert_fingerprintSHA1","museedesplansreliefs.fr/87.98.187.73","443","INFO","96788046F4E76E622474DC34099E1D155EAF5CEF","",""
"cert_fingerprintSHA256","museedesplansreliefs.fr/87.98.187.73","443","INFO","07425988CB60779BCE9E8F8469DC332EA028950F6D46995FD8768714416E8864","",""
"cert","museedesplansreliefs.fr/87.98.187.73","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDmTCCAyCgAwIBAgISBSUhxvoiPxcypjcda6LuGSbPMAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFNzAeFw0yNTExMzAxMzE1MjZaFw0yNjAyMjgxMzE1MjVaMCIxIDAeBgNVBAMTF211c2VlZGVzcGxhbnNyZWxpZWZzLmZyMFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAE9zyP1lupX57eb9L2iytksJe6Qkx8Fsjxs+Q4MPeZJwtlYOIjiR1DjEHolRxgZlSnkvXmvNiFyKJHcyfuPWKwDKOCAiQwggIgMA4GA1UdDwEB/wQEAwIHgDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQU8wgRGocy70s4NEr/p0UdlwbhCtwwHwYDVR0jBBgwFoAUrkie3IcdRKBv2qLlYHQEeMKcAIAwMgYIKwYBBQUHAQEEJjAkMCIGCCsGAQUFBzAChhZodHRwOi8vZTcuaS5sZW5jci5vcmcvMCIGA1UdEQQbMBmCF211c2VlZGVzcGxhbnNyZWxpZWZzLmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC0GA1UdHwQmMCQwIqAgoB6GHGh0dHA6Ly9lNy5jLmxlbmNyLm9yZy84MC5jcmwwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdgDLOPcViXyEoURfW8Hd+8lu8ppZzUcKaQWFsMsUwxRY5wAAAZrVHPV/AAAEAwBHMEUCIQCAVuvVlFGzau9StqyI8UjvZlOEzHwagJnbAngaj1CwlwIgYVgsFfxgy9VXi08gIdDapr8Sybak7eqWilst+ORnIh0AdQAOV5S8866pPjMbLJkHs/eQ35vCPXEyJd0hqSWsYcVOIQAAAZrVHPVeAAAEAwBGMEQCIAVqXu8i1aRQk/LVkYpwJNkwv6v0EVhEejiwttRkmPPSAiAH+2Ik6G8Hp7eJNQCTbqUHhKNkdqv0Kp6ICuh4ohCMGTAKBggqhkjOPQQDAwNnADBkAjATvbU3rJ8F7ZdOAqvbltM4Do1eAbRhjwweMaz2rhlTChvJifXaCOcpb4UVd/l120cCMBgA7b/SMbaBbAEObAryWVTTkmvCyvrd/nZFNfsaO8BGy1IzHJtwHLXvyciTAQl+qA==\n-----END CERTIFICATE-----","",""
"cert_commonName","museedesplansreliefs.fr/87.98.187.73","443","OK","museedesplansreliefs.fr","",""
"cert_commonName_wo_SNI","museedesplansreliefs.fr/87.98.187.73","443","INFO","request w/o SNI didn't succeed, usual for EC certificates","",""
"cert_subjectAltName","museedesplansreliefs.fr/87.98.187.73","443","INFO","museedesplansreliefs.fr","",""
"cert_trust","museedesplansreliefs.fr/87.98.187.73","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","museedesplansreliefs.fr/87.98.187.73","443","OK","passed.","",""
"cert_certificatePolicies_EV","museedesplansreliefs.fr/87.98.187.73","443","INFO","no","",""
"cert_expirationStatus","museedesplansreliefs.fr/87.98.187.73","443","OK","83 >= 30 days","",""
"cert_notBefore","museedesplansreliefs.fr/87.98.187.73","443","INFO","2025-11-30 13:15","",""
"cert_notAfter","museedesplansreliefs.fr/87.98.187.73","443","OK","2026-02-28 13:15","",""
"cert_extlifeSpan","museedesplansreliefs.fr/87.98.187.73","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","museedesplansreliefs.fr/87.98.187.73","443","INFO","not present","",""
"cert_crlDistributionPoints","museedesplansreliefs.fr/87.98.187.73","443","INFO","http://e7.c.lencr.org/80.crl","",""
"cert_ocspURL","museedesplansreliefs.fr/87.98.187.73","443","INFO","--","",""
"OCSP_stapling","museedesplansreliefs.fr/87.98.187.73","443","INFO","not offered","",""
"cert_mustStapleExtension","museedesplansreliefs.fr/87.98.187.73","443","INFO","--","",""
"DNS_CAArecord","museedesplansreliefs.fr/87.98.187.73","443","LOW","--","",""
"certificate_transparency","museedesplansreliefs.fr/87.98.187.73","443","OK","yes (certificate extension)","",""
"certs_countServer","museedesplansreliefs.fr/87.98.187.73","443","INFO","2","",""
"certs_list_ordering_problem","museedesplansreliefs.fr/87.98.187.73","443","INFO","no","",""
"cert_caIssuers","museedesplansreliefs.fr/87.98.187.73","443","INFO","E7 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","museedesplansreliefs.fr/87.98.187.73","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEVzCCAj+gAwIBAgIRAKp18eYrjwoiCWbTi7/UuqEwDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjQwMzEzMDAwMDAwWhcNMjcwMzEyMjM1OTU5WjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDELMAkGA1UEAxMCRTcwdjAQBgcqhkjOPQIBBgUrgQQAIgNiAARB6ASTCFh/vjcwDMCgQer+VtqEkz7JANurZxLP+U9TCeioL6sp5Z8VRvRbYk4P1INBmbefQHJFHCxcSjKmwtvGBWpl/9ra8HW0QDsUaJW2qOJqceJ0ZVFT3hbUHifBM/2jgfgwgfUwDgYDVR0PAQH/BAQDAgGGMB0GA1UdJQQWMBQGCCsGAQUFBwMCBggrBgEFBQcDATASBgNVHRMBAf8ECDAGAQH/AgEAMB0GA1UdDgQWBBSuSJ7chx1EoG/aouVgdAR4wpwAgDAfBgNVHSMEGDAWgBR5tFnme7bl5AFzgAiIyBpY9umbbjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly94MS5pLmxlbmNyLm9yZy8wEwYDVR0gBAwwCjAIBgZngQwBAgEwJwYDVR0fBCAwHjAcoBqgGIYWaHR0cDovL3gxLmMubGVuY3Iub3JnLzANBgkqhkiG9w0BAQsFAAOCAgEAjx66fDdLk5ywFn3CzA1w1qfylHUDaEf0QZpXcJseddJGSfbUUOvbNR9N/QQ16K1lXl4VFyhmGXDT5Kdfcr0RvIIVrNxFh4lqHtRRCP6RBRstqbZ2zURgqakn/Xip0iaQL0IdfHBZr396FgknniRYFckKORPGyM3QKnd66gtMst8I5nkRQlAg/Jb+Gc3egIvuGKWboE1G89NTsN9LTDD3PLj0dUMrOIuqVjLB8pEC6yk9enrlrqjXQgkLEYhXzq7dLafv5Vkig6Gl0nuuqjqfp0Q1bi1oyVNAlXe6aUXw92CcghC9bNsKEO1+M52YY5+ofIXlS/SEQbvVYYBLZ5yeiglV6t3SM6H+vTG0aP9YHzLn/KVOHzGQfXDP7qM5tkf+7diZe7o2fw6O7IvN6fsQXEQQj8TJUXJxv2/uJhcuy/tSDgXwHM8Uk34WNbRT7zGTGkQRX0gsbjAea/jYAoWv0ZvQRwpqPe79D/i7Cep8qWnA+7AE/3B3S/3dEEYmc0lpe1366A/6GEgk3ktr9PEoQrLChs6Itu3wnNLB2euC8IKGLQFpGtOO/2/hiAKjyajaBP25w1jF0Wl8Bbqne3uZ2q1GyPFJYRmT7/OXpmOH/FVLtwS+8ng1cAmpCujPwteJZNcDG0sF2n/sc0+SQf49fdyUK0ty+VUwFj9tmWxyR/M=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","museedesplansreliefs.fr/87.98.187.73","443","INFO","AEB1FD7410E83BC96F5DA3C6A7C2C1BB836D1FA5CB86E708515890E428A8770B","",""
"intermediate_cert_notBefore <#1>","museedesplansreliefs.fr/87.98.187.73","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","museedesplansreliefs.fr/87.98.187.73","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","museedesplansreliefs.fr/87.98.187.73","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","museedesplansreliefs.fr/87.98.187.73","443","INFO","E7 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","museedesplansreliefs.fr/87.98.187.73","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","museedesplansreliefs.fr/87.98.187.73","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","museedesplansreliefs.fr/87.98.187.73","443","INFO","+158186 seconds from localtime","",""
"HTTP_headerTime","museedesplansreliefs.fr/87.98.187.73","443","INFO","1765087703","",""
"HTTP_headerAge","museedesplansreliefs.fr/87.98.187.73","443","INFO","158186 seconds","",""
"HSTS_time","museedesplansreliefs.fr/87.98.187.73","443","OK","730 days (=63072000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","museedesplansreliefs.fr/87.98.187.73","443","INFO","only for this domain","",""
"HSTS_preload","museedesplansreliefs.fr/87.98.187.73","443","INFO","domain is NOT marked for preloading","",""
"HPKP","museedesplansreliefs.fr/87.98.187.73","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","museedesplansreliefs.fr/87.98.187.73","443","INFO","nginx","",""
"banner_application","museedesplansreliefs.fr/87.98.187.73","443","INFO","No application banner found","",""
"cookie_count","museedesplansreliefs.fr/87.98.187.73","443","INFO","0 at '/'","",""
"X-Frame-Options","museedesplansreliefs.fr/87.98.187.73","443","OK","SAMEORIGIN","",""
"X-Content-Type-Options","museedesplansreliefs.fr/87.98.187.73","443","OK","nosniff","",""
"Cache-Control","museedesplansreliefs.fr/87.98.187.73","443","INFO","max-age=2764800, public","",""
"banner_reverseproxy","museedesplansreliefs.fr/87.98.187.73","443","INFO","x-cache: HITx-cache-hits: 5279","","CWE-200"
"heartbleed","museedesplansreliefs.fr/87.98.187.73","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","museedesplansreliefs.fr/87.98.187.73","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","museedesplansreliefs.fr/87.98.187.73","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","museedesplansreliefs.fr/87.98.187.73","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","museedesplansreliefs.fr/87.98.187.73","443","OK","supported","","CWE-310"
"secure_client_renego","museedesplansreliefs.fr/87.98.187.73","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","museedesplansreliefs.fr/87.98.187.73","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","museedesplansreliefs.fr/87.98.187.73","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","museedesplansreliefs.fr/87.98.187.73","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","museedesplansreliefs.fr/87.98.187.73","443","OK","no protocol below TLS 1.2 offered","",""
