"id","fqdn/ip","port","severity","finding","cve","cwe"
"optimal_proto","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","musees-nationaux-alpesmaritimes.fr:443 appears to support TLS 1.3 ONLY, switching from /home/testssl/bin/openssl.Linux.x86_64 to /usr/bin/openssl automagically","",""
"engine_problem","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","WARN","No engine or GOST support via engine with your /usr/bin/openssl","",""
"service","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","HTTP","",""
"pre_128cipher","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","No 128 cipher limit bug","",""
"SSLv2","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","OK","not offered","",""
"SSLv3","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","OK","not offered","",""
"TLS1","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","not offered","",""
"TLS1_1","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","not offered","",""
"TLS1_2","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","not offered","",""
"TLS1_3","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","OK","offered with final","",""
"ALPN_HTTP2","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","OK","h2","",""
"ALPN","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","http/1.1","",""
"cipherlist_NULL","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","OK","not offered","","CWE-327"
"cipherlist_LOW","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","not offered","",""
"cipherlist_STRONG_FS","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","MEDIUM","not offered","",""
"cipher_order","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","not a server cipher order for TLS 1.3 configured","",""
"FS","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","MEDIUM","No ciphers supporting Forward Secrecy offered","",""
"TLS_extensions","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","'server name/#0' 'supported versions/#43' 'key share/#51'","",""
"TLS_session_ticket","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","no","",""
"sessionresumption_ticket","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","not supported","",""
"sessionresumption_ID","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","random","",""
"certificate_compression","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","none","",""
"clientAuth","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","none","",""
"cert_numbers","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","1","",""
"cert_signatureAlgorithm","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","OK","ECDSA with SHA256","",""
"cert_keySize","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","Digital Signature, Key Agreement","",""
"cert_extKeyUsage","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","0891E4C41A82EF24D1F82E86A9C5D068","",""
"cert_serialNumberLen","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","16","",""
"cert_fingerprintSHA1","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","389A435B67D68B6B2858047EE515EED702FE9E77","",""
"cert_fingerprintSHA256","musees-nationaux-alpesmaritimes.fr/31.193.48.129","443","INFO","C9C6AE9F3A405F818B2EE86A9FAC57D2504B7C540E1F2C7CAEC10654EE0DC46B","",""
