"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pop.culture.gouv.fr/87.98.187.73","443","INFO","HTTP","",""
"pre_128cipher","pop.culture.gouv.fr/87.98.187.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pop.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"SSLv3","pop.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"TLS1","pop.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_1","pop.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_2","pop.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"TLS1_3","pop.culture.gouv.fr/87.98.187.73","443","OK","offered with final","",""
"ALPN_HTTP2","pop.culture.gouv.fr/87.98.187.73","443","OK","h2","",""
"cipherlist_NULL","pop.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pop.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pop.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pop.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pop.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pop.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pop.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pop.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"cipher_order-tls1_2","pop.culture.gouv.fr/87.98.187.73","443","OK","server","",""
"cipherorder_TLSv1_2","pop.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","pop.culture.gouv.fr/87.98.187.73","443","OK","server -- TLS 1.3 client determined","",""
"FS","pop.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"FS_ciphers","pop.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_KEMs","pop.culture.gouv.fr/87.98.187.73","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","pop.culture.gouv.fr/87.98.187.73","443","OK","prime256v1","",""
"TLS_extensions","pop.culture.gouv.fr/87.98.187.73","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","pop.culture.gouv.fr/87.98.187.73","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","pop.culture.gouv.fr/87.98.187.73","443","INFO","no","",""
"sessionresumption_ticket","pop.culture.gouv.fr/87.98.187.73","443","INFO","not supported","",""
"sessionresumption_ID","pop.culture.gouv.fr/87.98.187.73","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","pop.culture.gouv.fr/87.98.187.73","443","INFO","random","",""
"certificate_compression","pop.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"clientAuth","pop.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"cert_numbers","pop.culture.gouv.fr/87.98.187.73","443","INFO","1","",""
"cert_signatureAlgorithm","pop.culture.gouv.fr/87.98.187.73","443","OK","ECDSA with SHA384","",""
"cert_keySize","pop.culture.gouv.fr/87.98.187.73","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","pop.culture.gouv.fr/87.98.187.73","443","INFO","Digital Signature","",""
"cert_extKeyUsage","pop.culture.gouv.fr/87.98.187.73","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","pop.culture.gouv.fr/87.98.187.73","443","INFO","0541567915322D5F72CBC2420EDC07319F82","",""
"cert_serialNumberLen","pop.culture.gouv.fr/87.98.187.73","443","INFO","18","",""
"cert_fingerprintSHA1","pop.culture.gouv.fr/87.98.187.73","443","INFO","0FE938766D14AA59BD03172743CC3062010AB23E","",""
"cert_fingerprintSHA256","pop.culture.gouv.fr/87.98.187.73","443","INFO","E51D0CB9F873D510B99B9AD6709374FAC3231E8064967D3720D7D0EAD24EF414","",""
