"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","production.pop.culture.gouv.fr/87.98.187.73","443","INFO","HTTP","",""
"pre_128cipher","production.pop.culture.gouv.fr/87.98.187.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","production.pop.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"SSLv3","production.pop.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"TLS1","production.pop.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_1","production.pop.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_2","production.pop.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"TLS1_3","production.pop.culture.gouv.fr/87.98.187.73","443","OK","offered with final","",""
"ALPN_HTTP2","production.pop.culture.gouv.fr/87.98.187.73","443","OK","h2","",""
"cipherlist_NULL","production.pop.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","production.pop.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","production.pop.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","production.pop.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","production.pop.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","production.pop.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","production.pop.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","production.pop.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"cipher_order-tls1_2","production.pop.culture.gouv.fr/87.98.187.73","443","OK","server","",""
"cipherorder_TLSv1_2","production.pop.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","production.pop.culture.gouv.fr/87.98.187.73","443","OK","server -- TLS 1.3 client determined","",""
