"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","HTTP","",""
"pre_128cipher","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"SSLv3","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"TLS1","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_1","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_2","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"TLS1_3","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","offered with final","",""
"ALPN_HTTP2","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","h2","",""
"cipherlist_NULL","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"cipher_order-tls1_2","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","server","",""
"cipherorder_TLSv1_2","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","server -- TLS 1.3 client determined","",""
"FS","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"FS_ciphers","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","prime256v1","",""
"TLS_extensions","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","no","",""
"sessionresumption_ticket","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","not supported","",""
"sessionresumption_ID","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","random","",""
"certificate_compression","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"clientAuth","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"cert_numbers","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","1","",""
"cert_signatureAlgorithm","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","ECDSA with SHA384","",""
"cert_keySize","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","Digital Signature","",""
"cert_extKeyUsage","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","rendezvousauxjardins.culture.gouv.fr/87.98.187.73","443","INFO","06BB0D16248D100F04EE3DE55D0B4C4BED71","",""
