"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","HTTP","",""
"pre_128cipher","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","No 128 cipher limit bug","",""
"SSLv2","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","not offered","",""
"SSLv3","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","not offered","",""
"TLS1","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","not offered","",""
"TLS1_1","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","not offered","",""
"TLS1_2","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","offered","",""
"TLS1_3","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","offered with final","",""
"ALPN_HTTP2","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","h2","",""
"ALPN","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","http/1.1","",""
"cipherlist_NULL","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","not offered","","CWE-327"
"cipherlist_LOW","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","not offered","",""
"cipherlist_STRONG_FS","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","offered","",""
"cipher_order-tls1_2","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","NOT a server cipher order configured","",""
"FS","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","offered","",""
"FS_ciphers","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_KEMs","recherche-anom.culture.gouv.fr/91.223.76.144","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","yes","",""
"sessionresumption_ticket","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","not supported","",""
"sessionresumption_ID","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","supported","",""
"TLS_timestamp","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","random","",""
"certificate_compression","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","none","",""
"clientAuth","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","none","",""
"cert_numbers","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","1","",""
"cert_signatureAlgorithm","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","ECDSA with SHA384","",""
"cert_keySize","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","Digital Signature","",""
"cert_extKeyUsage","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","0518DA12F001378B9EFF9A41F8697F39DF89","",""
"cert_serialNumberLen","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","18","",""
"cert_fingerprintSHA1","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","5538921448D514196DB40422AB95CE49F8518AA3","",""
"cert_fingerprintSHA256","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","03D298222D27EAAF746C7894290A64C194054C73C3F42ECF7560623A611ACA03","",""
"cert","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDqzCCAzGgAwIBAgISBRjaEvABN4ue/5pB+Gl/Od+JMAoGCCqGSM49BAMDMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNZRTIwHhcNMjYwNzAyMTcyMDEzWhcNMjYwOTMwMTcyMDEyWjApMScwJQYDVQQDEx5yZWNoZXJjaGUtYW5vbS5jdWx0dXJlLmdvdXYuZnIwWTATBgcqhkjOPQIBBggqhkjOPQMBBwNCAAT1+H6IsfUD826pM6skbcGSOSn4yID2XXBhdps29n2ErHh6L9EalXFlxAoVTQR2TQaQVIH1piNDSahnjwSSq8/to4ICLTCCAikwDgYDVR0PAQH/BAQDAgeAMBMGA1UdJQQMMAoGCCsGAQUFBwMBMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFNG8RDnI6pF0/ahW753IkgCxrzo0MB8GA1UdIwQYMBaAFLlZ8o7PIvCG0zdI/3YUGLqC2FWHMDMGCCsGAQUFBwEBBCcwJTAjBggrBgEFBQcwAoYXaHR0cDovL3llMi5pLmxlbmNyLm9yZy8wKQYDVR0RBCIwIIIecmVjaGVyY2hlLWFub20uY3VsdHVyZS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC4GA1UdHwQnMCUwI6AhoB+GHWh0dHA6Ly95ZTIuYy5sZW5jci5vcmcvMTAuY3JsMIIBDQYKKwYBBAHWeQIEAgSB/gSB+wD5AHYAyKPEf8ezrbk1awE/anoSbeM6TkOlxkb5l605dZkdz5oAAAGfJA37EAAABAMARzBFAiBXceEykwFHSy12K3lmV69ciBX9EsdcWDvT4PJH+dmAvAIhAIlOuoty1a0LxKdOAbYjxLWSk/xDBCusZTtHgjhkP2RtAH8AqCbL4wrGNRJGUz/gZfFPGdluGQgTxB3ZbXkAsxI8VScAAAGfJA38vwAIAAAFABIYWTYEAwBIMEYCIQC3Gh/lXTgiKWaj+LO5WAttMDAErRktN8DSnrKis4JVNwIhAM1QjRN6L7wrmL9ZBa59C/RA6rASyjsBtAm5tfeeUzO1MAoGCCqGSM49BAMDA2gAMGUCMQDCLqytgRA21MG3wqzKYfKhGWu+Si1YET8dwpg9EPHx9rCXkqUH4eFYD9vQLoquojcCMBCVLWVmoElOYzy++BkpwoflTNOL3XB6BQ6h5W2BMR2JkdCz5GRzy56GnFdhf0enAA==\n-----END CERTIFICATE-----","",""
"cert_commonName","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","recherche-anom.culture.gouv.fr","",""
"cert_commonName_wo_SNI","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","request w/o SNI didn't succeed, usual for EC certificates","",""
"cert_subjectAltName","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","recherche-anom.culture.gouv.fr","",""
"cert_trust","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","passed.","",""
"cert_certificatePolicies_EV","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","no","",""
"cert_expirationStatus","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","73 >= 30 days","",""
"cert_notBefore","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","2026-07-02 17:20","",""
"cert_notAfter","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","2026-09-30 17:20","",""
"cert_extlifeSpan","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","not present","",""
"cert_crlDistributionPoints","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","http://ye2.c.lencr.org/10.crl","",""
"cert_ocspURL","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","--","",""
"OCSP_stapling","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","not offered","",""
"cert_mustStapleExtension","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","--","",""
"DNS_CAArecord","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","issue=certigna.com, issue=letsencrypt.org","",""
"certificate_transparency","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","yes (certificate extension)","",""
"certs_countServer","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","4","",""
"certs_list_ordering_problem","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","no","",""
"cert_caIssuers","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","YE2 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","-----BEGIN CERTIFICATE-----\nMIICjDCCAhGgAwIBAgIQTfOxXdbAeExQfNN7WObxFTAKBggqhkjOPQQDAzAuMQswCQYDVQQGEwJVUzENMAsGA1UEChMESVNSRzEQMA4GA1UEAxMHUm9vdCBZRTAeFw0yNTA5MDMwMDAwMDBaFw0yODA5MDIyMzU5NTlaMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNZRTIwdjAQBgcqhkjOPQIBBgUrgQQAIgNiAARxmrQzkdbEEL3MqXt3dJQttYc47axkdDTHud5TPqM2z5uSD5cmk0WrHlWXvnlvqBLqiB34kluxIbmMyAiq3/YD6e80/vV259K8XQIdjFXloYOa0mIU71f7HQ09PvYDlw+jge4wgeswDgYDVR0PAQH/BAQDAgGGMBMGA1UdJQQMMAoGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFLlZ8o7PIvCG0zdI/3YUGLqC2FWHMB8GA1UdIwQYMBaAFKPIJlqOoUzQNWP8myPIOq5W809WMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3llLmkubGVuY3Iub3JnLzATBgNVHSAEDDAKMAgGBmeBDAECATAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veWUuYy5sZW5jci5vcmcvMAoGCCqGSM49BAMDA2kAMGYCMQDIcnw5dcZLN9ffynXnnkLD/itSJEycJPb3sRkzeqBowup7vOsAwaqoCnNn/jh9wycCMQCJM6CPlaOC4pQYYbJtVPYbDKrIb2EKk5NpOpE6/XttQYZV/3gilB9l+Cc/DOVwmyg=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","97658DE8C68DFA98ACE1E5028A63D54A1AAE911B3E21471076C6850CD08CBAB4","",""
"intermediate_cert_notBefore <#1>","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","2025-09-03 00:00","",""
"intermediate_cert_notAfter <#1>","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","2028-09-02 23:59","",""
"intermediate_cert_expiration <#1>","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","YE2 <-- Root YE","",""
"intermediate_cert <#2>","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","-----BEGIN CERTIFICATE-----\nMIICpjCCAiugAwIBAgIRAIchZfw0tuX7qK3Vs3BftTowCgYIKoZIzj0EAwMwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDIwHhcNMjYwNTEzMDAwMDAwWhcNMzIwOTAyMjM1OTU5WjAuMQswCQYDVQQGEwJVUzENMAsGA1UEChMESVNSRzEQMA4GA1UEAxMHUm9vdCBZRTB2MBAGByqGSM49AgEGBSuBBAAiA2IABDwS/6vhrcVqcbBo+wgdI3fwn9x7DNJJOY/lTOti0vkwuRN87RhEhTH17E7XyFjWsPYhIPt/wzOqxTd2b+4ZJNy9ID04YywF9U5zasDVyGSNErVNtz8uSGh5izW87j77GaOB6zCB6DAOBgNVHQ8BAf8EBAMCAQYwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDwYDVR0TAQH/BAUwAwEB/zAdBgNVHQ4EFgQUo8gmWo6hTNA1Y/ybI8g6rlbzT1YwHwYDVR0jBBgwFoAUfEKWrt5LSDv6kviejM9ti6lyN5UwMgYIKwYBBQUHAQEEJjAkMCIGCCsGAQUFBzAChhZodHRwOi8veDIuaS5sZW5jci5vcmcvMBMGA1UdIAQMMAowCAYGZ4EMAQIBMCcGA1UdHwQgMB4wHKAaoBiGFmh0dHA6Ly94Mi5jLmxlbmNyLm9yZy8wCgYIKoZIzj0EAwMDaQAwZgIxAMU19WCtmxVND8UHBZRoma49Z7jPs64Dma0eTu1OChVbB/2J7GV3nvYKAx54uk1G9QIxAO0miLVJu8PLNiXXXkiE/gsK3CTRTF/aeo4bMX42Zw40csRU6AC26hSW1/IWaas6dg==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#2>","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","0FC0901CCA2BAE9E9FDBB02D50D02F1094F7B36672086991B9E897626DC485F0","",""
"intermediate_cert_notBefore <#2>","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","2026-05-13 00:00","",""
"intermediate_cert_notAfter <#2>","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","2032-09-02 23:59","",""
"intermediate_cert_expiration <#2>","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","Root YE <-- ISRG Root X2","",""
"intermediate_cert <#3>","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEcDCCAligAwIBAgIQbI8dxyfHEX97r4U6yYD5zTANBgkqhkiG9w0BAQsFADBPMQswCQYDVQQGEwJVUzEpMCcGA1UEChMgSW50ZXJuZXQgU2VjdXJpdHkgUmVzZWFyY2ggR3JvdXAxFTATBgNVBAMTDElTUkcgUm9vdCBYMTAeFw0yNjA1MTMwMDAwMDBaFw0zMjA5MDIyMzU5NTlaME8xCzAJBgNVBAYTAlVTMSkwJwYDVQQKEyBJbnRlcm5ldCBTZWN1cml0eSBSZXNlYXJjaCBHcm91cDEVMBMGA1UEAxMMSVNSRyBSb290IFgyMHYwEAYHKoZIzj0CAQYFK4EEACIDYgAEzZvVn4CDCuwJSvMWSj5cz3es3mcFDR0HttwW+1qLFNvicWDEukWVEYmO6gbf9yoWHKS5xcUy4APgHoIYOIvXRdgKam7mAHf7AlF9ItgKbppbd9/w+kHsOdx1ymgHDB/qo4H1MIHyMA4GA1UdDwEB/wQEAwIBBjAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDwYDVR0TAQH/BAUwAwEB/zAdBgNVHQ4EFgQUfEKWrt5LSDv6kviejM9ti6lyN5UwHwYDVR0jBBgwFoAUebRZ5nu25eQBc4AIiMgaWPbpm24wMgYIKwYBBQUHAQEEJjAkMCIGCCsGAQUFBzAChhZodHRwOi8veDEuaS5sZW5jci5vcmcvMBMGA1UdIAQMMAowCAYGZ4EMAQIBMCcGA1UdHwQgMB4wHKAaoBiGFmh0dHA6Ly94MS5jLmxlbmNyLm9yZy8wDQYJKoZIhvcNAQELBQADggIBAD2/e9frmMxNpCV03qUHegg+MV2wz9644YoXdqtH8RyWYcBO7xfjjGEXdU1e/o0OkEFiynUCOSIk/vLLo7ttz6CPAeNlWfC0XNkoGeWgK6jjXvozBaGuGH5n0UfoshMeWTuURqNN5G00sSXDTBrpp2+mgvdZQjb8K11TYMA25QA+YHNfbIEL0BniAhKS2gsnJjSzrdZLI+EZ7SEyqdR2rkjd1KutLDU+n3TFyxjniZVGur4YlhMP3mY/dV95IruAkkjOZier6hGBdEgZXXvaCz9u9iVEadsIE75pAGL8oHV5vxdARDiotRpul1IN/UZwzAbrfUFcw1HkAcYD/mlZfnQ2ieCF2MS7j3Vhv7JPDKp45fmykmzYNSrumRW0upFFKDBOoF7hsOb7oLyHS+Uft6jOUfOrogj8YUx38hKb2K20r42OgsSdDdxdeYWcMS3Sb6mwJeSZEYxJ2gaXnDSPaKhhrNkYwljyVQyr4Nq+MEJytXNTnHqaAcrNwZlVpcJL1KBnMrMjP7eanvUwL3FYj3cF17jtboLt7gLoi4+2rWZFvn+w54jmd/FIuhhZcEaU/wvU6BUNMtcVquVGHp7itQeDth5j+XL3j4WJ2SABwzUl6OeYdgpIt/ITZa+pTT0mQ/r5XyA4MEAiabn7XJjvCERlF2dcn2wqJw+CreTkkQ2R\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#3>","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","EE5F7ABD6981BB0255632CD8F49283451B4B18844D12040B44EE00F07B8FE2C6","",""
"intermediate_cert_notBefore <#3>","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","2026-05-13 00:00","",""
"intermediate_cert_notAfter <#3>","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","2032-09-02 23:59","",""
"intermediate_cert_expiration <#3>","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#3>","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","ISRG Root X2 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","1784452379","",""
"HSTS_time","recherche-anom.culture.gouv.fr/91.223.76.144","443","OK","730 days (=63072000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","only for this domain","",""
"HSTS_preload","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","domain is NOT marked for preloading","",""
"HPKP","recherche-anom.culture.gouv.fr/91.223.76.144","443","INFO","No support for HTTP Public Key Pinning","",""
